isbn_or_asin,book_title,author,publisher,published_date,sophia_opac
4562059079,図説世界地下名所百科 : イスタンブールの沈没宮殿、メキシコの麻薬密輸トンネルから首都圏外郭放水路まで,"Fitch,Chris,1988- 上京,恵",原書房,202102,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC05584756
4750516597,地下世界をめぐる冒険 (亜紀書房翻訳ノンフィクション・シリーズⅢ-12),ウィル・ハント／著 棚橋志行／翻訳,亜紀書房,20200826,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC02154262
4044005907,日本俗信辞典. 動物編 J132-1 (角川ソフィア文庫),"鈴木,棠三,1911-1992",KADOKAWA,202004,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4044005907
4044005915,日本俗信辞典. 植物編 J132-2 (角川ソフィア文庫),"鈴木,棠三,1911-1992",KADOKAWA,202006,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4044005915
4044005303,贋札の世界史 I410-1 (角川ソフィア文庫),"植村,峻,1935-",KADOKAWA,202003,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB31510793
4044005478,オノマトペ : 擬音語・擬態語の世界 [E114-1] ([角川ソフィア文庫]),"小野,正弘",KADOKAWA,201912,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29432766
448006513X,完全教祖マニュアル,架神恭介／著 辰巳一世／著,筑摩書房,20091101,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=448006513X
4781617417,ダークウェブ・アンダーグラウンド : 社会秩序を逸脱するネット暗部の住人たち,"木澤,佐登志,1988-",イースト・プレス,201901,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB2753349X
4799325469,越前敏弥の日本人なら必ず誤訳する英文,越前敏弥 [著],ディスカヴァー・トゥエンティワン,"Mon, 30 Sep 2019 21:59:12 +0900",https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4799325469
4327452920,英文解体新書 : 構造と論理を読み解く英文解釈,,研究社,201907,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4327452920
4309416837,グレン・グールド よ11-4 (河出文庫),"吉田,秀和,1913-2012",河出書房新社,201905,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28112078
0582237521,Longman Dictionary of Common Errors New Edition,N Turton,Longman,1996-07-29,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=0582237521
4861826500,夢と幽霊の書,アンドルー・ラング／著 ないとうふみこ／翻訳 吉田篤弘／解説,作品社,20170821,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB24258231
4896942523,西欧中世宝石誌の世界 : アルベルトゥス・マグヌス『鉱物書』を読む,"Albertus, 1193?-1280,大槻, 真一郎, 1926-2016,澤元, 亙, 1965-,アルベルトゥス・マグヌス [著],大槻真一郎 著,澤元亙 編",八坂書房,"Wed, 12 Sep 2018 07:10:39 +0900",https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26857849
4562051256,英国の幽霊伝説 : フォト・ストーリー : ナショナル・トラストの建物と怪奇現象,"Evans,Siân 村上,リコ 田口,未和",原書房,201501,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB1794831X
